date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:57:01	16627/16627	---MCZ	200	added ('OK')	text/css	etag:W/%221db80e7-40f3-59c9fb8f%22	http://ds-bluewhale.co.kr/board/skin/board/guest/css/default.css	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/skin/board/guest/css/default.css	(from http://ds-bluewhale.co.kr/board/bbs/write.php?bo_table=guest)
17:57:01	10973/10973	---MCZ	200	added ('OK')	text/css	etag:W/%221db80e9-2add-59c9fb8f%22	http://ds-bluewhale.co.kr/board/skin/board/guest/css/style.css	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/skin/board/guest/css/style.css	(from http://ds-bluewhale.co.kr/board/bbs/write.php?bo_table=guest)
17:57:02	13942/13942	---MCZ	200	added ('OK')	text/css	etag:W/%221db80e8-3676-59c9fb8f%22	http://ds-bluewhale.co.kr/board/skin/board/guest/css/global.css?ver=170523	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/skin/board/guest/css/global3a8f.css	(from http://ds-bluewhale.co.kr/board/bbs/write.php?bo_table=guest)
17:57:02	69874/69874	---MCZ	200	added ('OK')	text/css	etag:W/%221db80e6-110f2-59c9fb8f%22	http://ds-bluewhale.co.kr/board/skin/board/guest/css/common.css	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/skin/board/guest/css/common.css	(from http://ds-bluewhale.co.kr/board/bbs/write.php?bo_table=guest)
17:57:02	6163/6163	---MCZ	200	added ('OK')	text/css	etag:W/%221db80ec-1813-59c9fb91%22	http://ds-bluewhale.co.kr/board/skin/board/guest/css2/common.css	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/skin/board/guest/css2/common.css	(from http://ds-bluewhale.co.kr/board/bbs/write.php?bo_table=guest)
17:57:02	2770/2770	---MCZ	200	added ('OK')	text/css	etag:W/%221db80ee-ad2-59c9fb91%22	http://ds-bluewhale.co.kr/board/skin/board/guest/css2/layout.css	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/skin/board/guest/css2/layout.css	(from http://ds-bluewhale.co.kr/board/bbs/write.php?bo_table=guest)
17:57:02	586/586	---M--	200	added ('OK')	text/css	etag:%221db80ed-24a-59c9fb91%22	http://ds-bluewhale.co.kr/board/skin/board/guest/css2/contents.css	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/skin/board/guest/css2/contents.css	(from http://ds-bluewhale.co.kr/board/bbs/write.php?bo_table=guest)
17:57:03	15254/15254	---MCZ	200	added ('OK')	text/css	etag:W/%221db80eb-3b96-59c9fb90%22	http://ds-bluewhale.co.kr/board/skin/board/guest/css2/board.css	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/skin/board/guest/css2/board.css	(from http://ds-bluewhale.co.kr/board/bbs/write.php?bo_table=guest)
17:57:12	215278/215278	---M--	200	added ('OK')	image/jpeg	etag:%2219e1324-348ee-5a2ab553%22	http://ds-bluewhale.co.kr/mobile/sub/contact.jpg	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/mobile/sub/contact.jpg	(from http://ds-bluewhale.co.kr/mobile/contact.htm)
17:57:22	144763/144763	---MCZ	200	added ('OK')	application/javascript	etag:W/%2223c409e-2357b-59edacf2%22	http://ds-bluewhale.co.kr/vr/100/tour.js	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/vr/100/tour.js	(from http://ds-bluewhale.co.kr/vr/100/)
17:57:22	144763/144763	---MCZ	200	added ('OK')	application/javascript	etag:W/%22230861a-2357b-59edacd7%22	http://ds-bluewhale.co.kr/vr/50/tour.js	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/vr/50/tour.js	(from http://ds-bluewhale.co.kr/vr/50/)
17:57:23	5771/5771	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Apr%202019%2008:57:21%20GMT	http://ds-bluewhale.co.kr/board/bbs/board.php?bo_table=notice&wr_id=3	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/bbs/board7f6f.html	(from http://ds-bluewhale.co.kr/board/bbs/board.php?bo_table=notice)
17:57:23	10911/10911	---MCZ	200	added ('OK')	text/css	etag:W/%221db8151-2a9f-59c9fba5%22	http://ds-bluewhale.co.kr/board/skin/board/news/style.css?ver=161020	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/skin/board/news/style0d2a.css	(from http://ds-bluewhale.co.kr/board/bbs/board.php?bo_table=news)
